Testing with Activation Function: ReLU
Epoch [1/1000] - Loss: 0.6176
Epoch [2/1000] - Loss: 0.6253
Epoch [3/1000] - Loss: 0.5709
Epoch [4/1000] - Loss: 0.5793
Epoch [5/1000] - Loss: 0.5688
Epoch [6/1000] - Loss: 0.5423
Epoch [7/1000] - Loss: 0.5522
Epoch [8/1000] - Loss: 0.5465
Epoch [9/1000] - Loss: 0.5761
Epoch [10/1000] - Loss: 0.5446
Epoch [11/1000] - Loss: 0.5374
Epoch [12/1000] - Loss: 0.5164
Epoch [13/1000] - Loss: 0.5158
Epoch [14/1000] - Loss: 0.4963
Epoch [15/1000] - Loss: 0.5052
Epoch [16/1000] - Loss: 0.4755
Epoch [17/1000] - Loss: 0.4732
Epoch [18/1000] - Loss: 0.4632
Epoch [19/1000] - Loss: 0.4589
Epoch [20/1000] - Loss: 0.4549
Epoch [21/1000] - Loss: 0.4559
Epoch [22/1000] - Loss: 0.4687
Epoch [23/1000] - Loss: 0.4465
Epoch [24/1000] - Loss: 0.4516
Epoch [25/1000] - Loss: 0.4395
Epoch [26/1000] - Loss: 0.4505
Epoch [27/1000] - Loss: 0.4283
Epoch [28/1000] - Loss: 0.4259
Epoch [29/1000] - Loss: 0.4399
Epoch [30/1000] - Loss: 0.4315
Epoch [31/1000] - Loss: 0.4263
Epoch [32/1000] - Loss: 0.4294
Epoch [33/1000] - Loss: 0.4443
Epoch [34/1000] - Loss: 0.4226
Epoch [35/1000] - Loss: 0.4269
Epoch [36/1000] - Loss: 0.4342
Epoch [37/1000] - Loss: 0.4255
Epoch [38/1000] - Loss: 0.4449
Epoch [39/1000] - Loss: 0.4171
Epoch [40/1000] - Loss: 0.4051
Epoch [41/1000] - Loss: 0.4167
Epoch [42/1000] - Loss: 0.4207
Epoch [43/1000] - Loss: 0.4362
Epoch [44/1000] - Loss: 0.4214
Epoch [45/1000] - Loss: 0.4167
Epoch [46/1000] - Loss: 0.4230
Epoch [47/1000] - Loss: 0.4076
Epoch [48/1000] - Loss: 0.4121
Epoch [49/1000] - Loss: 0.4067
Epoch [50/1000] - Loss: 0.4078
Epoch [51/1000] - Loss: 0.4034
Epoch [52/1000] - Loss: 0.4166
Epoch [53/1000] - Loss: 0.4051
Epoch [54/1000] - Loss: 0.3902
Epoch [55/1000] - Loss: 0.3971
Epoch [56/1000] - Loss: 0.3950
Epoch [57/1000] - Loss: 0.3878
Epoch [58/1000] - Loss: 0.3938
Epoch [59/1000] - Loss: 0.3867
Epoch [60/1000] - Loss: 0.4013
Epoch [61/1000] - Loss: 0.3958
Epoch [62/1000] - Loss: 0.3951
Epoch [63/1000] - Loss: 0.3855
Epoch [64/1000] - Loss: 0.3994
